"","Sens.IRR","Sens.IAQ","Sens.SO2","Sens.H2S","Sens.OZO","Sens.NO2","Sens.CMO","Izero.IRR","Izero.IAQ","Izero.SO2","Izero.H2S","Izero.OZO","Izero.NO2","Izero.CMO","n.IRR","n.IAQ","n.SO2","n.H2S","n.OZO","n.NO2","n.CMO","IRR.IRR","IAQ.IRR","SO2.IRR","H2S.IRR","OZO.IRR","NO2.IRR","CMO.IRR","IRR.IAQ","IAQ.IAQ","SO2.IAQ","H2S.IAQ","OZO.IAQ","NO2.IAQ","CMO.IAQ","IRR.SO2","IAQ.SO2","SO2.SO2","H2S.SO2","OZO.SO2","NO2.SO2","CMO.SO2","IRR.H2S","IAQ.H2S","SO2.H2S","H2S.H2S","OZO.H2S","NO2.H2S","CMO.H2S","IRR.OZO","IAQ.OZO","SO2.OZO","H2S.OZO","OZO.OZO","NO2.OZO","CMO.OZO","IRR.NO2","IAQ.NO2","SO2.NO2","H2S.NO2","OZO.NO2","NO2.NO2","CMO.NO2","IRR.CMO","IAQ.CMO","SO2.CMO","H2S.CMO","OZO.CMO","NO2.CMO","CMO.CMO"
"5410ECF722F8",26.45,11.07,8.52,379.7,48.19,22.63,3.56,9.345,105.536,12.293,29.353,1.507,0.228,35.592,16.88,11.3,11.31,11.8,37.69,30.39,10.91,1,0,0,-2.46339402406163e-17,-6.56905073083101e-17,1.4963615383573e-17,0,-4.91952631538911e-17,1,0,-2.45976315769455e-17,-6.55936842051881e-17,-2.66307962250173e-17,0,0.434730842199015,-0.623115307016795,2.05582219226752,-0.123143749316825,0,-1.0730258697343e-16,0,0.405161232069863,1.20392833083129,-17.6264138942825,2.05582219226752,0,1.09205300428097e-15,0,-0.391266322703571,-0.27609532778102,0.840288198364278,0.0864084633066805,0.997398047816739,0.0026929747291051,0,0.0632210892525607,-1.2752565988404,0.991929658573187,-0.118036442585297,-0.963685993800533,0.997398047816739,0,0.046343949335989,-0.994329650706147,-0.0187079819496348,0.00112060811878317,9.31438973487477e-17,0,1
"5410ECF745FB",29.61,12.96,9.61,353.69,41.88,14.27,2.38,19.718,110.33,12.184,33.065,1.998,1.194,33.748,38.81,11.06,11.27,10.49,18.14,21.66,10.44,1,0,2.13253428664813e-17,-2.55601492509713e-17,8.57238089198512e-17,2.67442534931232e-17,0,3.0528421980004e-17,1,-3.66341063760048e-16,-2.2896316485003e-17,-5.31798730412983e-17,-3.34056030198281e-17,0,0.47668353940936,-0.610279448162121,1.87226670124618,-0.105034161939911,2.59910554450657e-16,4.33862697587705e-17,0,0.169633878621025,0.459526705207154,-15.5484260471691,1.87226670124618,-1.55947482722898e-15,-9.59442520658452e-17,0,-0.27117794019324,-0.231595127764817,0.810744231174433,0.0947612461169422,0.999209984617762,0.000799367987694407,0,-0.0281657900572865,-1.32777778992904,0.850837926374095,-0.11773515038483,-0.987519227797734,0.999209984617762,0,0.0642575164992567,-0.994568512911357,-0.0166631736410911,0.000934804041265244,9.71147905186031e-17,7.76918324148975e-20,1
"5410ECF7473",24.81,10.22,8.13,357.16,46.81,19.08,3.78,11.668,116.037,12.297,28.991,5.688,0.468,56.431,12.98,11.44,12.18,11.93,28.01,42.64,11.09,1,-2.24434835927661e-16,1.02845715333225e-15,-7.08953037381242e-18,0,3.34012569155417e-17,0,-8.83010138939897e-17,1,1.17734685191986e-16,4.41505069469949e-17,0,-6.96291898774913e-17,0,0.411557644004638,-0.606662118399637,2.00759219169502,-0.117845661652498,0,5.64433981720556e-17,0,0.438540987995941,0.793221778528736,-17.1651139982116,2.00759219169502,0,-4.44778301096067e-17,0,-0.563239375164337,0.138935269296443,-0.161808197008631,0.158948374322726,1.00610293994547,-0.00643905881565107,0,0.114659174264263,-1.66090206212911,1.61022703462265,-0.164869257919805,-0.95358436648032,1.00610293994547,0,0.0142486946123634,-0.995207369264643,-0.0158599783143905,0.000930980727054678,-1.11022302462516e-16,0,1
"5410ECF74913",30.31,13.16,7.97,365.34,41.69,22.11,3.31,8.268,104.544,12.07,31.846,1.518,0.709,38.881,27.6,11,11.55,10.25,26.02,21.47,10.4,1,-2.17137301902045e-16,-6.72734082739411e-17,-2.29375747206343e-17,-2.35245140853665e-17,-1.75951301596963e-17,0,1.33398850690192e-16,1,-5.92883780845299e-17,3.70552363028312e-18,-1.43071390147913e-16,-8.54291533684385e-17,0,0.267188708700262,-0.570781548918319,1.53937787090125,-0.0720428843581783,8.1284781547283e-17,3.84980039041582e-17,0,2.08998485683201,-0.367915621403436,-11.5251681816505,1.53937787090124,-4.07584602876293e-17,3.63005036936699e-17,0,-0.564133789509843,0.0972504402983205,-0.41073450809799,0.178135652771573,1.00674926722244,-0.00674522009039037,0,0.0532522040545769,-1.54178701692457,1.28516199207864,-0.136754206988543,-1.00735331678278,1.00674926722244,0,0.021434205333427,-0.993664324807007,-0.0170870943670037,0.000799676016375803,2.22044604925031e-16,1.11022302462516e-16,1
"5410ECF74BB3",33.79,12.47,9.45,343.08,48.59,21.2,3.11,20.701,102.706,12.093,32.246,5.589,1.758,28.979,27.15,11.01,11.59,10.39,24.83,32.12,9.65,1,-4.29819212011288e-16,1.44052014136703e-17,7.75413346576263e-18,-1.43375996262226e-17,-1.18674437754212e-17,0,0,1,-3.73929611002948e-16,3.11608009169123e-17,2.42569464028426e-16,8.34037670853701e-17,0,0.439922554037603,-0.608769585463422,1.59980587315613,-0.0748709148637068,-1.46415469833354e-16,-5.75463037336892e-17,0,0.608492435093955,0.285674903064563,-12.8163648110284,1.59980587315613,0,2.90374610172102e-17,0,-0.450159203215856,0.0863212401505499,-0.0437688629903465,0.150055003066331,1.01020514286346,-0.0106071540000664,0,0.033934222229582,-1.50030181982499,1.0983960571105,-0.118702104842604,-0.971918367948939,1.01020514286346,0,0.0852048441609902,-0.993364411518449,-0.0174378840174017,0.000816092972014404,-1.11022302462516e-16,-1.11022302462516e-16,1
"5410ECF74FC4",27.34,10.93,8.67,341.73,48.07,18.07,2.76,11.346,114.695,11.814,34.109,0.814,0.282,32.355,9.17,10.98,11.83,10.81,33.78,698.77,11.25,1,0,5.65887573400395e-16,-5.69378055496243e-17,4.01680266868218e-18,3.74107659711119e-17,0,-7.39233307960052e-17,1,-2.36554658547217e-16,-7.39233307960052e-18,1.26760029352452e-16,-3.16868682628586e-17,0,0.390922664414079,-0.586468926014591,1.97143438884982,-0.11276604704221,-8.14824137376688e-17,3.60690823438966e-17,0,1.09575761513847,0.710995210045293,-16.9831186861856,1.97143438884982,1.69576358991055e-16,-6.18247142154887e-18,0,-0.632172224584937,0.0230248422957387,0.00141993183805504,0.135492399561085,1.00861701863702,-0.00877496806214209,0,0.24492533230762,-1.70539705863312,1.63351395760167,-0.159370292883118,-0.990461912301557,1.00861701863702,0,0.00691941198893925,-0.995613935683294,-0.0132845894866398,0.00065987851863579,-1.11022302462516e-16,-1.11022302462516e-16,1
"5410ECF75143",32.02,12.01,9.02,307.62,48.03,24.87,4.35,20.321,116.357,11.627,29.062,9.075,0.486,38.116,15.31,11.09,11.36,11.17,40.16,26.12,10.46,1,-2.30869595201613e-16,-2.48494464341033e-16,-8.30292956678564e-17,-8.70478216319476e-17,-4.63246497494848e-17,0,0,1,5.76628389188842e-16,-2.16235645945816e-17,5.64382910577849e-17,4.17160713409823e-17,0,0.510465926347919,-0.69544348122445,2.08830698446801,-0.115274545542634,-2.15084257130662e-16,-1.49168725758191e-17,0,-0.972208810650699,2.06238190624003,-19.7157062403625,2.08830698446801,1.4415702408498e-15,-2.25245350132781e-16,0,-0.306737841539035,-0.245887337011335,1.54209353865435,0.0253768259363155,1.01911154141171,-0.0206879642906577,0,0.0451529668910034,-1.52652743466188,0.860888895059066,-0.0968013266149192,-0.941455241956138,1.01911154141171,0,0.0349777851081994,-0.995201439979551,-0.0144093181928292,0.0007953943642442,1.86912682266106e-17,-3.79432745000195e-19,1
"5410ECF71974",35.28,10.97,8.98,329.95,46.59,23.5,3.27,7.178,120.663,10.996,30.136,2.277,0.626,43.097,62.44,10.67,11.37,11.35,43.88,34.42,10.98,1,0,1.05755817934792e-15,2.8729691909036e-17,1.94823258681424e-18,-3.93802983232849e-17,0,-6.67533881411311e-17,1,1.0680542102581e-16,2.67013552564524e-17,6.37889271303015e-17,-4.21131894726595e-17,0,0.263106090028529,-0.546195311310583,2.23397516556828,-0.141857423013586,-2.88933017005247e-17,-3.43889116552555e-16,0,1.48021905466883,0.695989154497365,-19.4326797727288,2.23397516556828,0,3.01374525775461e-15,0,-0.423403540717421,0.000132522033954958,0.279328156970467,0.14400664075958,1.01186468001743,-0.0127494949682196,0,-0.0834464297678786,-1.80295356728722,1.7575116672074,-0.186520937471206,-0.941641271224216,1.01186468001742,0,0.029393221909354,-0.995511517069078,-0.0133823824920684,0.000549781288246321,-5.7852396175378e-17,2.59040579889752e-18,1
"5410ECF719CA",33.41,11.02,9.11,358.26,47.58,19.94,3.56,22.16,119.399,11.643,29.893,1.286,1.06,37.829,14.69,11.06,11.79,11.21,32.75,98.01,11.33,1,-2.30845593164425e-16,4.02459600850562e-16,7.40394818478597e-18,-1.92083904892687e-17,-7.49387926584803e-18,0,-5.73049007447552e-17,1,-4.58439205958042e-16,5.73049007447552e-17,-3.30266955549709e-17,-7.07056746969092e-18,0,0.607840381460855,-0.585714142598982,2.43748693049976,-0.162580378264334,1.91530689648348e-16,-1.74719324968505e-16,0,-1.52684230076244,0.806808734617416,-21.5515281933998,2.43748693049976,-1.62297177077448e-15,1.54689496901943e-15,0,-0.543291495578024,0.0885325327971378,-0.248003929129922,0.171370873684738,1.01074499759812,-0.0110171204738195,0,0.29473337565002,-1.66207306156758,2.43576218249891,-0.256870072597638,-0.985779596157442,1.01074499759812,0,0.0142264457923259,-0.995519867524535,-0.011366781552738,0.000358164329567611,-2.33138477474478e-17,0,1
"5410ECF71A1B",34.99,12.28,10.04,368.9,50.16,19.95,3.92,14.348,100.343,11.958,30.328,-1.013,1.734,35.834,15.56,11.1,11.31,11.35,71.76,62.07,11.02,1,2.36626726974857e-16,6.7126443984808e-16,7.54871898408658e-18,8.44233708993576e-17,-5.08207448682729e-19,0,8.39755015577164e-17,1,-2.23934670820577e-16,-4.19877507788582e-17,-4.88798462784411e-17,-1.97871754628307e-19,0,0.36519210680003,-0.645476380446316,2.0563776496426,-0.123382658978556,2.23704867780716e-16,1.50736865317747e-17,0,0.626798219999505,0.91293967410527,-17.60629416071,2.0563776496426,-1.37292604348861e-15,-1.30052564666401e-16,0,-0.550876352789919,0.0284004113691989,0.266919738402387,0.138940296427676,1.00153130129843,-0.00160245008207749,0,0.112537013403746,-1.71424575865778,1.96952984630015,-0.215347248165336,-0.957063311520782,1.00153130129843,0,0.00681487297343978,-0.994244205234715,-0.0153974155445699,0.000723844932674236,4.9155054764725e-17,-1.72473876367456e-18,1
"5410ECF71AC1",31.03,11.89,8.83,344.72,49.04,25.79,2.71,17.097,117.041,12.252,34.613,4.391,0.609,36.843,13.24,11.28,11.32,10.61,34.28,30.63,10.21,1,-2.22578794030705e-16,-2.59097343610584e-16,-2.42903759634922e-17,-1.85263693427763e-17,-2.51598613513891e-17,0,8.58988977709318e-17,1,-2.29063727389151e-16,-2.14747244427329e-17,-1.26485619849825e-16,-3.14355141673315e-17,0,0.403557851101248,-0.613837617795847,2.00227085546802,-0.114730120018318,7.01478767805865e-17,1.01356622042188e-17,0,0.464958968564607,0.84882404530274,-17.4916379662831,2.00227085546802,-1.15826967238771e-16,-4.70547054407507e-17,0,-0.463352272151804,-0.115658965392949,0.349777057927366,0.146164899119777,1.00823951479804,-0.00836838797282372,0,0.141768427396703,-1.59566768814968,1.26523715185986,-0.145645623622684,-0.992712626270152,1.00823951479804,0,0.0139538126951299,-0.993403164537028,-0.0156290054802752,0.000495542014019842,2.22044604925031e-16,0,1
"5410ECF71C73",36.92,11.84,8.85,360.54,48.54,27.83,2.55,19.257,106.628,11.532,29.819,1.55,0.98,39.117,15.19,11.19,11.43,11.06,26.29,47.64,10.89,1,-2.3319726407964e-16,2.74695413936509e-16,-1.04617437400897e-16,2.63254045057387e-17,-3.18396493734314e-17,0,-2.75957571864906e-17,1,2.20766057491925e-16,-1.37978785932453e-17,1.23102932229798e-16,3.97221452737202e-17,0,0.391292894496188,-0.731511278256434,1.92535146665284,-0.108012217279225,-8.07377273730387e-17,-3.97894101391886e-17,0,0.456454643561705,1.5278302719507,-16.4946785499616,1.92535146665284,2.08556646188332e-16,3.13649643681671e-17,0,-0.560563658865998,0.103138687008634,-0.196366358429332,0.179246803802518,0.998277312772441,0.00179689916299042,0,0.126774126563836,-1.80796066805463,1.82883085335571,-0.196680136077679,-0.957048459754939,0.998277312772441,0,0.0110849103986674,-0.993582143065975,-0.0131499002215485,0.000437709402428849,0,0,1
"5410ECF71DFB",33.29,10.07,8.42,257.12,46.41,21.48,2.64,22.515,113.813,12.125,30.817,4.071,0.548,32.02,13.68,11.35,11.12,10.29,20.35,20.5,10.81,1,0,-2.23861271448794e-16,-3.05434515262973e-17,4.54166630940718e-19,-4.66104505359034e-17,0,2.55603456825985e-17,1,-2.04482765460788e-16,2.23653024722737e-17,5.76677758221139e-17,3.82991293638112e-17,0,0.461176446802204,-0.581654031408217,1.69047880749838,-0.0814810785214221,-3.55486843119442e-17,-4.14466661588002e-17,0,0.127044672153443,0.511494427556372,-14.325286462622,1.69047880749838,4.83283138061672e-17,-6.0410392257709e-18,0,-0.48046041967023,0.00904237762423723,0.207158799903197,0.12941136576288,1.01043426969469,-0.0107106032587637,0,0.149596220021709,-1.89829572971871,1.25954665684089,-0.126410141144055,-0.984365065536565,1.01043426969469,0,0.0687345927090529,-0.994569569626748,-0.0119310106131975,0.000275074711556092,-1.11022302462516e-16,-1.11022302462516e-16,1
"5410ECF72E4D",29.2,11.95,8.59,356.53,52.27,25.81,2.99,18.783,102.081,12.436,32.92,0.793,0.431,37.293,12.3,11.24,11.34,10.54,25.22,15.17,10.46,1,0,2.13836509631073e-16,1.66354713859594e-17,-1.85432611118204e-17,5.37632162939256e-18,0,-3.15797902833031e-17,1,-1.89478741699819e-16,2.76323164978902e-17,1.10451204709588e-16,-1.83626199794222e-17,0,0.570308239530821,-0.673405667605985,1.43661763663067,-0.0494196467000951,-1.79213613121064e-16,-1.22250158863404e-16,0,-0.782216265430853,1.37807173273211,-12.6923731578683,1.43661763663067,9.99490176757528e-16,1.18689458489956e-15,0,-0.493027813403965,-0.0276535269213462,0.401829435704984,0.134370867633869,1.02077480891096,-0.0216404259489123,0,0.388338995342701,-1.73079215537799,1.75625431453944,-0.187481196633393,-0.979943816554517,1.02077480891096,0,0.0171024782947188,-0.99414449673158,-0.0115166596502258,0.00029617309196774,-5.9497519996273e-17,1.72456579699342e-18,1
"5410ECF74785",33.77,10.6,10.02,369.12,47.61,14.48,3.25,24.368,118.587,11.639,31.893,1.647,1.235,31.139,14.08,11.16,11.5,10.9,28.16,25.6,12.38,1,0,0,7.21546113143284e-17,-9.82569760448518e-18,-5.29012003050665e-17,0,2.61977334726184e-17,1,0,1.30988667363092e-17,-1.31089303317934e-17,1.64054511155288e-17,0,0.612828156079793,-0.59117663986138,2.1874902725042,-0.134968149813509,1.95683770424096e-16,-7.70866994793364e-17,0,-1.49964596563685,0.712749430492378,-19.2461956645737,2.18749027250419,-1.70108735285121e-15,3.98692348324503e-16,0,-0.38497288260687,-0.12323136917471,0.512617858363647,0.128477566925504,0.984147945228506,0.0166321002743617,0,0.237621930897028,-1.73530728863925,1.72745905851235,-0.194981337132664,-0.937991406597289,0.984147945228506,0,0.0140439451439564,-0.996252941342077,-0.0088823261264061,0.000248039521999263,-2.59233504803557e-17,0,1
"5410ECF749AA",35,12.96,8.25,360.87,49.12,18.11,3.3,21.543,123.914,10.637,35.006,5.84,4.084,37.687,15.29,10.88,12.56,11.1,19.34,33.45,11.17,1,0,1.42951205255995e-16,2.85683450317831e-17,3.9546699834518e-17,-3.96631558516092e-17,0,-2.97970914967737e-17,1,1.19188365987095e-16,0,-8.62771203567109e-17,4.87404613332701e-17,0,0.399814067744013,-0.593097819142417,1.62984095360038,-0.0860556023501002,8.17088520797902e-17,-5.00050104419444e-17,0,0.959960838181567,-0.32011706169665,-11.9288059394012,1.62984095360038,-4.2203045492451e-17,-1.53315751203045e-17,0,-0.643948960709005,0.145061671394995,-0.174663937526929,0.161128153102152,0.994689501952501,0.00547079226073876,0,0.170106664513622,-1.52924338167075,1.19051092834355,-0.134514031429288,-0.965545099545293,0.994689501952501,0,0.00941442886787335,-0.992193693232639,-0.0176092906149851,0.00062977054447122,2.22044604925031e-16,-1.11022302462516e-16,1
