,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1
,,,,Sensitivities (nA/ppm),,,,,,,Izero(nA @ 10C),,,,,,,Izero(nA @ 20C),,,,,,,Izero(nA @ 40C),,,,,,,A (nA),,,,,,,1/m (T),,,,,,,SO2,,,,,,,H2S,,,,,,,O3,,,,,,,NO2,,,,,,,CO,,,,,,
Ship Date,Test Date,B.A.D.,Board B.C.,IRR,IAQ,SO2,H2S,OZO,NO2,CMO,IRR,IAQ,SO2,H2S,OZO,NO2,CMO,IRR,IAQ,SO2,H2S,OZO,NO2,CMO,IRR,IAQ,SO2,H2S,OZO,NO2,CMO,IRR,IAQ,SO2,H2S,OZO,NO2,CMO,IRR,IAQ,SO2,H2S,OZO,NO2,CMO,IRR,IAQ,SO2,H2S,OZO,NO2,CMO,IRR,IAQ,SO2,H2S,OZO,NO2,CMO,IRR,IAQ,SO2,H2S,OZO,NO2,CMO,IRR,IAQ,SO2,H2S,OZO,NO2,CMO,IRR,IAQ,SO2,H2S,OZO,NO2,CMO
102017,101717,5410EC388B2,088726-0012,47.22,14.00,9.72,195.24,42.54,19.41,3.16,1.383,34.488,1.257,4.777,0.977,0.543,6.614,2.535,71.762,2.087,8.827,1.277,0.764,20.951,28.995,330.665,9.446,38.275,1.459,1.551,94.752,0.441,14.359,0.403,2.018,0.592,0.408,2.777,10.55,12.60,12.46,13.56,39.60,34.40,11.15,-0.2395,0.8632,1.0000,0.1066,0.0085,0.0085,-0.6061,-2.2426,3.7185,4.0784,1.0000,-0.0043,-0.0086,-1.2687,0.5557,-0.4960,-0.4580,-0.1129,1.0000,-0.0116,-0.3429,1.0000,1.4014,-1.1865,-0.0766,1.8512,1.0000,-0.1496,-0.0080,1.0000,0.0051,0.0004,0.0002,-0.0001,1.0000
102017,101717,5410EC388D81,088726-0004,48.69,16.18,8.96,191.94,41.31,22.89,3.21,0.855,36.524,1.147,4.000,1.070,0.410,6.415,2.143,76.574,2.091,8.685,1.061,0.467,19.343,26.448,374.195,8.343,38.463,1.306,0.792,91.003,0.267,15.581,0.331,1.774,1.283,0.217,2.692,9.41,12.40,11.88,12.94,-45.80,64.36,11.16,-0.1968,0.6275,1.0000,0.1078,-0.0134,-0.0019,-0.3082,-2.0171,2.3941,4.0236,1.0000,0.0058,0.0053,-1.7305,0.5564,-0.3995,-0.5421,-0.0910,1.0000,-0.0013,-0.0654,1.0000,0.9941,-1.1780,-0.0814,1.8914,1.0000,-0.2158,-0.0059,1.0000,0.0117,0.0010,-0.0001,0.0003,1.0000
102517,101717,5410EC388E1C,088726-0060,50.87,16.09,10.44,192.45,31.27,12.92,3.12,0.011,30.652,1.212,3.980,0.371,0.375,6.014,0.752,70.811,2.186,8.230,0.297,0.523,18.867,11.028,316.095,8.283,35.018,1.426,1.376,84.229,0.029,12.754,0.356,1.814,0.123,0.176,2.593,6.99,12.17,12.07,13.39,17.18,30.75,11.27,-0.1805,0.7974,1.0000,0.1094,0.0194,-0.0165,-0.2679,-1.9715,3.0702,3.6988,1.0000,0.0016,-0.0037,-1.4952,0.5682,-0.5027,-0.5909,-0.0940,1.0000,-0.0341,0.1056,1.0000,0.9350,-1.0676,-0.0727,2.2030,1.0000,-0.1331,-0.0066,1.0000,0.0057,0.0010,-0.0003,0.0002,1.0000
102517,101717,5410EC388EB5,088726-0035,45.78,16.36,10.94,133.11,32.12,25.87,3.60,0.666,31.858,1.200,3.547,0.541,0.465,6.894,1.484,68.980,1.735,7.404,1.169,0.390,20.808,24.198,326.625,8.720,34.996,1.672,1.150,98.980,0.201,13.000,0.340,1.430,0.337,0.183,2.958,9.09,12.20,12.00,12.54,31.82,28.93,11.25,-0.2412,0.7389,1.0000,0.1095,-0.0112,0.0022,-0.1274,-2.5055,2.9462,3.6829,1.0000,-0.0046,-0.0076,-1.4064,0.5601,-0.5645,-0.5678,-0.0698,1.0000,0.0374,0.2205,1.0000,0.9127,-1.0864,-0.0606,2.3120,1.0000,-0.2545,-0.0065,1.0000,0.0088,0.0015,0.0002,0.0000,1.0000
120417,101717,5410EC389FBF,088726-0041,50.92,16.64,10.10,184.23,36.53,19.04,4.34,0.222,37.028,1.081,4.277,0.706,0.426,6.423,0.713,77.140,2.252,8.395,0.678,0.523,20.115,14.285,375.614,8.483,39.238,4.083,1.194,90.183,0.037,15.662,0.409,1.916,0.195,0.232,2.716,7.15,12.42,12.75,13.27,14.71,37.11,11.13,-0.1636,0.7004,1.0000,0.1084,-0.0064,-0.0196,-0.1959,-2.1300,1.7048,3.6552,1.0000,0.0109,0.0023,-1.6300,0.5305,-0.4613,-0.5350,-0.0957,1.0000,0.0038,0.0955,1.0000,0.9562,-1.0689,-0.0746,2.0686,1.0000,0.0085,-0.0081,1.0000,0.0086,0.0011,-0.0001,0.0004,1.0000
110917,101717,5410EC38A78,088726-0008,53.90,17.21,8.43,183.10,38.26,19.41,3.85,0.774,30.010,1.021,3.951,0.373,0.413,6.839,2.071,63.278,2.442,7.521,0.517,0.406,20.528,29.223,332.256,9.503,33.174,0.950,0.634,93.701,0.237,12.118,0.391,1.662,0.214,0.238,2.957,9.02,11.90,12.48,13.33,33.56,71.72,11.39,-0.2207,0.6841,1.0000,0.0927,-0.0081,0.0017,-0.3513,-2.4235,3.1815,4.1030,1.0000,0.0013,-0.0029,-1.3694,0.5447,-0.4148,-0.4189,-0.0927,1.0000,-0.0097,0.1733,1.0000,1.2742,-1.1044,-0.0812,2.0093,1.0000,-0.0939,-0.0045,1.0000,0.0133,0.0011,-0.0001,-0.0002,1.0000
110917,101717,5410EC38A961,088726-0045,45.39,16.55,8.30,178.74,38.59,22.97,3.49,0.164,38.799,1.192,4.971,1.209,0.849,6.575,0.510,84.211,2.482,9.476,1.100,1.771,21.311,6.603,386.369,8.724,40.009,3.604,3.208,92.791,0.156,16.656,0.303,2.219,0.794,0.616,2.884,11.52,12.58,11.67,13.80,34.89,23.52,11.21,-0.1386,0.7230,1.0000,0.1156,0.0100,-0.0064,-0.1324,-1.9848,3.0305,5.0345,1.0000,0.0019,0.0122,-1.6814,0.5555,-0.4673,-0.3524,-0.0957,1.0000,0.0064,-0.6080,1.0000,0.9506,-1.4590,-0.0820,2.0023,1.0000,-0.1597,-0.0059,1.0000,0.0074,0.0012,-0.0002,0.0006,1.0000
111717,101717,5410EC38B845,088726-0013,55.58,15.77,9.84,196.99,52.77,24.42,3.65,1.115,36.526,1.281,5.053,0.762,0.522,7.214,3.429,81.354,2.371,9.020,0.670,0.797,25.627,30.326,400.793,9.782,39.696,0.938,1.434,89.041,0.410,15.224,0.537,2.103,0.529,0.248,2.973,9.63,12.17,13.39,13.58,571.67,26.21,11.38,-0.2158,0.7353,1.0000,0.0971,-0.0020,0.0250,0.0059,-2.0281,2.8977,3.7076,1.0000,-0.0030,-0.0091,-1.3863,0.5821,-0.4436,-0.5788,-0.0898,1.0000,0.0208,0.1945,1.0000,0.9837,-1.1164,-0.0581,1.5825,1.0000,-0.1338,-0.0032,1.0000,0.0079,0.0010,0.0000,0.0000,1.0000
111717,101717,5410EC38B892,088726-0020,44.25,17.12,9.64,182.22,34.22,23.11,3.84,0.404,28.517,1.195,4.601,0.709,0.619,6.717,1.320,68.381,2.305,8.810,0.668,0.948,21.429,18.042,317.109,9.705,37.431,1.371,1.356,98.193,0.121,11.888,0.345,1.914,0.496,0.317,2.794,8.55,11.94,11.93,13.36,-992.47,33.45,11.00,-0.1762,0.8307,1.0000,0.1134,-0.0061,0.0094,-0.3607,-1.9803,2.8472,3.6935,1.0000,-0.0061,-0.0058,-1.4610,0.5411,-0.4790,-0.5490,-0.0966,1.0000,-0.0286,0.4017,1.0000,1.4308,-1.0869,-0.0830,2.2173,1.0000,-0.0664,-0.0029,1.0000,0.0088,0.0011,-0.0001,0.0001,1.0000
122717,101717,5410EC38E33B,088726-0039,44.73,17.11,8.82,205.44,45.57,22.99,3.01,1.200,37.239,1.190,4.395,1.311,0.414,5.734,3.389,80.276,2.132,8.831,1.087,0.672,20.379,29.241,419.598,8.014,40.322,6.695,0.834,74.152,0.473,15.162,0.365,2.119,0.503,0.315,2.382,10.16,12.00,12.48,13.56,20.03,89.92,11.28,-0.2224,0.8307,1.0000,0.1007,-0.0109,-0.0023,-0.2140,-1.9844,3.0466,4.0764,1.0000,0.0033,0.0009,-1.5123,0.5934,-0.5716,-0.4158,-0.0950,1.0000,0.0050,-0.1461,1.0000,1.0458,-1.2537,-0.0635,1.7974,1.0000,0.0322,-0.0038,1.0000,0.0086,0.0009,0.0001,0.0000,1.0000
